City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,micheweni,-4.9667,39.8333,26.05,66,83,5.16,TZ,1723100519
209,huarmey,-10.0681,-78.1522,16.56,86,14,2.79,PE,1723100520
210,piriapolis,-34.8682,-55.2744,9.95,90,0,3.09,UY,1723100521
211,ambovombe,-25.1667,46.0833,23.26,60,0,2.98,MG,1723100522
212,al wajh,26.2455,36.4525,34.97,36,0,2.06,SA,1723100471
213,selfoss,63.9331,-20.9971,10.58,94,22,0.43,IS,1723100524
214,urangan,-25.3,152.9,18.9,72,0,5.7,AU,1723100525
215,aksu,41.1231,80.2644,31.56,25,0,1.73,CN,1723100526
216,tazacorte,28.629,-17.9293,22.54,70,75,6.69,ES,1723100527
217,san patricio,28.017,-97.5169,29.38,78,0,4.74,US,1723100528
218,utrik,11.2278,169.8474,28.42,77,1,6.59,MH,1723100530
219,dingtao,35.0683,115.5625,31.21,73,52,1.38,CN,1723100531
220,fale old settlement,-9.3852,-171.2468,28.25,75,99,9.34,TK,1723100533
221,barstow heights,34.8697,-117.0562,32.73,19,86,4.0,US,1723100534
222,quellon,-43.1167,-73.6167,5.09,88,100,1.46,CL,1723100535
223,aasiaat,68.7098,-52.8699,3.23,95,100,3.31,GL,1723100536
224,nar'yan-mar,67.6713,53.087,15.95,48,0,2.66,RU,1723100537
225,la sarre,48.8002,-79.1996,12.1,71,100,2.83,CA,1723100538
226,sinabang,2.4803,96.3801,30.33,62,97,2.63,ID,1723100539
227,bardai,11.65,7.2333,21.54,94,100,6.2,NG,1723100540
228,kavieng,-2.5744,150.7967,28.88,74,36,4.6,PG,1723100542
229,tralee,52.2704,-9.7026,15.51,96,100,1.95,IE,1723100543
230,hasaki,35.7333,140.8333,30.22,78,0,2.97,JP,1723100544
231,kuhmo,64.1333,29.5167,18.27,53,13,2.02,FI,1723100545
232,sakakah,29.9697,40.2064,30.76,12,0,6.09,SA,1723100546
233,kargasok,59.0556,80.8572,18.83,57,50,3.69,RU,1723100547
234,nakanojomachi,36.5833,138.85,32.02,65,23,0.96,JP,1723100548
235,black point,-34.6187,137.8972,14.11,72,65,5.01,AU,1723100549
236,fauske,67.2588,15.3918,21.64,65,100,4.86,NO,1723100550
237,mizdah,31.4451,12.9801,26.93,48,0,4.8,LY,1723100551
238,genhe,50.7833,121.5167,20.69,79,100,1.47,CN,1723100552
239,graaff-reinet,-32.2522,24.5308,16.7,33,0,3.86,ZA,1723100553
240,mamontovo,52.7055,81.6244,26.54,52,100,4.99,RU,1723100555
241,takoradi,4.8845,-1.7554,23.24,88,100,3.98,GH,1723100556
242,santa terezinha,-29.9002,-50.0904,14.84,96,100,3.12,BR,1723100557
243,usogorsk,63.4106,48.6872,19.89,38,5,3.23,RU,1723100558
244,lagoa,39.05,-27.9833,22.05,68,0,2.37,PT,1723100559
245,praia da vitoria,38.7333,-27.0667,23.14,83,75,2.28,PT,1723100560
246,khandyga,62.6667,135.6,20.53,51,4,0.64,RU,1723100561
247,hamilton,39.1834,-84.5333,21.34,89,4,0.45,US,1723100162
248,sitka,57.0531,-135.33,15.17,93,38,0.36,US,1723100563
249,anaconda,46.1285,-112.9423,9.89,96,12,1.86,US,1723100406
250,kingston,17.997,-76.7936,28.53,84,40,4.63,JM,1723100384
251,mednogorsk,51.4128,57.595,24.17,60,33,4.35,RU,1723100566
252,gisborne,-38.6533,178.0042,10.31,86,88,3.07,NZ,1723100567
253,san ignacio,17.1561,-89.0714,25.08,94,0,0.0,BZ,1723100569
254,changwon,35.2281,128.6811,32.93,59,100,1.01,KR,1723100570
255,arraial do cabo,-22.9661,-42.0278,21.81,83,0,6.06,BR,1723100571
256,qiryat shemona,33.2073,35.5721,30.94,43,0,3.52,IL,1723100572
257,polovinnoye,54.7914,65.9864,18.79,63,100,5.33,RU,1723100573
258,susuman,62.7833,148.1667,12.57,74,100,1.8,RU,1723100574
